step,train_loss,train_accuracy,train_mean_token_accuracy
1,0.9807443022727966,-1,0.71875
2,1.0451682806015015,-1,0.59375
3,1.2825274467468262,-1,0.4375
4,1.1356172561645508,-1,0.59375
5,1.1847012042999268,-1,0.65625
6,1.3390663862228394,-1,0.5625
7,1.280390739440918,-1,0.375
8,1.0199298858642578,-1,0.71875
9,1.12075674533844,-1,0.59375
10,1.0889403820037842,-1,0.59375
11,1.2259340286254883,-1,0.375
12,1.2627211809158325,-1,0.5
13,1.2488009929656982,-1,0.4375
14,1.1964378356933594,-1,0.59375
15,1.1752278804779053,-1,0.71875
16,0.9726505279541016,-1,0.59375
17,1.0692832469940186,-1,0.59375
18,1.2591376304626465,-1,0.5
19,1.2968668937683105,-1,0.4375
20,1.0510491132736206,-1,0.65625
21,1.1484107971191406,-1,0.59375
22,1.0191929340362549,-1,0.5625
23,1.0705479383468628,-1,0.59375
24,1.1057677268981934,-1,0.46875
25,1.2017077207565308,-1,0.46875
26,1.098012924194336,-1,0.625
27,1.1380581855773926,-1,0.46875
28,1.001262903213501,-1,0.65625
29,0.9999654293060303,-1,0.59375
30,1.0880353450775146,-1,0.46875
31,1.0092179775238037,-1,0.53125
32,1.1550776958465576,-1,0.5625
33,1.1414457559585571,-1,0.46875
34,0.7771233320236206,-1,0.75
35,1.09635591506958,-1,0.5625
36,1.013775110244751,-1,0.6875
37,0.9164953827857971,-1,0.59375
38,0.9763073325157166,-1,0.5
39,0.8996502757072449,-1,0.71875
40,0.9851392507553101,-1,0.6875
41,0.9400782585144043,-1,0.625
42,1.0112131834030151,-1,0.59375
43,0.8217970728874207,-1,0.71875
44,0.8209097981452942,-1,0.625
45,0.9613242149353027,-1,0.59375
46,0.9541150331497192,-1,0.5
47,1.0879836082458496,-1,0.4375
48,0.8460568189620972,-1,0.625
49,0.9130431413650513,-1,0.40625
50,0.9342864155769348,-1,0.5
51,0.8930743336677551,-1,0.53125
52,0.8740894794464111,-1,0.53125
53,0.881862223148346,-1,0.65625
54,0.8314328193664551,-1,0.59375
55,0.8288105726242065,-1,0.75
56,0.8984526991844177,-1,0.65625
57,0.9269205927848816,-1,0.625
58,0.8054579496383667,-1,0.625
59,0.7913761138916016,-1,0.71875
60,0.48969823122024536,-1,0.875
61,0.766187310218811,-1,0.75
62,0.8665449619293213,-1,0.625
63,0.834776759147644,-1,0.5625
64,0.6679383516311646,-1,0.71875
65,0.9039803743362427,-1,0.5625
66,0.8223094940185547,-1,0.625
67,0.6409167051315308,-1,0.78125
68,0.8075920343399048,-1,0.5625
69,0.67577064037323,-1,0.625
70,0.7377154231071472,-1,0.78125
71,0.8042951226234436,-1,0.5625
72,0.8215435743331909,-1,0.625
73,0.7943694591522217,-1,0.6875
74,0.8463454842567444,-1,0.65625
75,0.7094186544418335,-1,0.6875
76,0.8236498832702637,-1,0.5625
77,0.6763178110122681,-1,0.75
78,0.8118857741355896,-1,0.625
79,0.836012601852417,-1,0.59375
80,0.708975076675415,-1,0.625
81,0.7147769927978516,-1,0.65625
82,0.7392858266830444,-1,0.65625
83,0.6685064435005188,-1,0.65625
84,0.806533932685852,-1,0.53125
85,0.7573447227478027,-1,0.59375
86,0.7121976613998413,-1,0.6875
87,0.7503376007080078,-1,0.5625
88,0.8425315618515015,-1,0.5
